"Footprint","Part Value","LCSC Part"
"C_1206_3216Metric","0.1µF","C24497"
"C_1206_3216Metric","1µF","C1848"
"C_1206_3216Metric","100nF","C24497"
"C_1206_3216Metric","4,7µF","C29823"
"C_1206_3216Metric","10µF","C13585"
"C_1206_3216Metric","0,1µF","C24497"
"D_SOD-323F","B5819WS","C8598"
"QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm","CP2102N-Axx-xQFN20","C969913"
"R_0603_1608Metric","5.1K","C23186"
"R_0603_1608Metric","470","C23179"
"R_0603_1608Metric","22K","C31850"
"R_0603_1608Metric","47K","C25819"
"R_0603_1608Metric","2K2","C4190"
"R_0603_1608Metric","47K5","C25819"
"R_0805_2012Metric","5.1K","C23186"
"R_1206_3216Metric","10k","C17902"
"R_1206_3216Metric","470","C23179"
"R_1206_3216Metric","2K","C17944"
"R_1206_3216Metric","10K","C17902"
"R_1206_3216Metric","47K","C25819"
"R_1206_3216Metric","2K2","C22939"
"SOT-23","BAT54A","C8591"
"SOT-23-5","ME6211C12M5G-N","C236672"
"SOT-23-5","MCP73831-2-OT","C14879"
"SOT363","BCM857BS","C20426291"
"USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","USB_C_Plug_USB2.0","C456012"
